timestamp,run_id,agent_id,ladder,run,status,error,traceback,logs,project_directory,commit_url,branch_name,project_type,duration,override_model,strong_completion_model,base_chat_completion_model,fast_chat_completion_model,strong_coding_completion_model
2024-12-12 12:21:07,845b618c-6024-458e-b0d2-81b7ab372558,FullOneShotGameGeneration,coffee_tycoon,6,failure,"After 5 attempts to debug, could not create a bug-free game. Still have error Message: Console errors detected in app
Errors:
Type: Uncaught Exception
Event
(Occurred 5 times)
---
","Traceback (most recent call last):
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/core_agent.py"", line 43, in execute
    check_app_in_browser(self.sdk.project_directory, verbose=True)
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-std-agents/agent_lib/puppeteer_utils.py"", line 257, in check_app_in_browser
    raise PuppeteerException(""Console errors detected in app"", errors)
agent_lib.puppeteer_utils.PuppeteerException: Message: Console errors detected in app
Errors:
Type: Uncaught Exception
Event
(Occurred 5 times)
---


During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/themachine/Desktop/volter-monorepo/packages/volter-bench/utils.py"", line 93, in execute_agent
    asyncio.run(agent.execute())
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py"", line 190, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py"", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py"", line 40, in execute
    await one_shot_task
  File ""/Users/themachine/Desktop/volter-monorepo/packages/volter-common/common/sdk/SDK.py"", line 255, in execute_as_task
    response = await agent.execute()
               ^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/core_agent.py"", line 47, in execute
    raise FixableException(
common.exceptions.FixableException: After 5 attempts to debug, could not create a bug-free game. Still have error Message: Console errors detected in app
Errors:
Type: Uncaught Exception
Event
(Occurred 5 times)
---

","['new_prompt_logs/999959_843380_FullOneShotGameGeneration', 'new_prompt_logs/999940_489841_UnknownAgent', 'new_prompt_logs/999939_566101_OneShotCoreAgent', 'new_prompt_logs/999926_803644_UnknownAgent', 'new_prompt_logs/999919_798351_OneShotCoreAgent']",ladder/coffee_tycoon_6,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,299.587582,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:21:19,db82d881-7f6f-4065-b396-1f299de93d8a,FullOneShotGameGeneration,gold_miner,1,failure,"After 5 attempts to debug, could not create a bug-free game. Still have error Message: Console errors detected in app
Errors:
Type: Uncaught Exception
Cannot read properties of undefined (reading 'texture')
---
","Traceback (most recent call last):
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/core_agent.py"", line 43, in execute
    check_app_in_browser(self.sdk.project_directory, verbose=True)
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-std-agents/agent_lib/puppeteer_utils.py"", line 257, in check_app_in_browser
    raise PuppeteerException(""Console errors detected in app"", errors)
agent_lib.puppeteer_utils.PuppeteerException: Message: Console errors detected in app
Errors:
Type: Uncaught Exception
Cannot read properties of undefined (reading 'texture')
---


During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/Users/themachine/Desktop/volter-monorepo/packages/volter-bench/utils.py"", line 93, in execute_agent
    asyncio.run(agent.execute())
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py"", line 190, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py"", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py"", line 40, in execute
    await one_shot_task
  File ""/Users/themachine/Desktop/volter-monorepo/packages/volter-common/common/sdk/SDK.py"", line 255, in execute_as_task
    response = await agent.execute()
               ^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/core_agent.py"", line 47, in execute
    raise FixableException(
common.exceptions.FixableException: After 5 attempts to debug, could not create a bug-free game. Still have error Message: Console errors detected in app
Errors:
Type: Uncaught Exception
Cannot read properties of undefined (reading 'texture')
---

","['new_prompt_logs/999952_122685_FullOneShotGameGeneration', 'new_prompt_logs/999938_128010_UnknownAgent', 'new_prompt_logs/999937_575737_OneShotCoreAgent', 'new_prompt_logs/999924_295686_UnknownAgent', 'new_prompt_logs/999918_345843_OneShotCoreAgent']",ladder/gold_miner_1,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,311.257364,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:26:44,6f0e062b-6163-483b-959d-134538f30fe3,FullOneShotGameGeneration,coffee_tycoon,1,success,,,"['new_prompt_logs/999951_192835_FullOneShotGameGeneration', 'new_prompt_logs/999932_931066_UnknownAgent', 'new_prompt_logs/999931_832537_OneShotCoreAgent', 'new_prompt_logs/999922_698311_UnknownAgent', 'new_prompt_logs/999917_342867_OneShotCoreAgent', 'new_prompt_logs/999909_850796_FullOneShotGameGeneration']",ladder/coffee_tycoon_1,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,636.960921,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:27:06,d984fc2c-7476-4d03-8b5a-3a9ebfcbf073,FullOneShotGameGeneration,gold_miner,2,success,,,"['new_prompt_logs/999956_200073_FullOneShotGameGeneration', 'new_prompt_logs/999942_905255_UnknownAgent', 'new_prompt_logs/999941_755429_OneShotCoreAgent', 'new_prompt_logs/999927_469090_UnknownAgent', 'new_prompt_logs/999920_957376_OneShotCoreAgent', 'new_prompt_logs/999905_941605_FullOneShotGameGeneration']",ladder/gold_miner_2,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,659.113777,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:29:34,9e12529e-44e0-4e5e-844c-8fbb8939b5c0,FullOneShotGameGeneration,coffee_tycoon,4,failure,game mechanics could not be fixed after 5 tries. We should abandon this gen,"Traceback (most recent call last):
  File ""/Users/themachine/Desktop/volter-monorepo/packages/volter-bench/utils.py"", line 93, in execute_agent
    asyncio.run(agent.execute())
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py"", line 190, in run
    return runner.run(main)
           ^^^^^^^^^^^^^^^^
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/runners.py"", line 118, in run
    return self._loop.run_until_complete(task)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete
    return future.result()
           ^^^^^^^^^^^^^^^
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py"", line 42, in execute
    await self.sdk.execute_as_task(AutoplayAgent)
  File ""/Users/themachine/Desktop/volter-monorepo/packages/volter-common/common/sdk/SDK.py"", line 255, in execute_as_task
    response = await agent.execute()
               ^^^^^^^^^^^^^^^^^^^^^
  File ""/Users/themachine/Desktop/volter-monorepo/packages/lib-volter-ige2/ige2_agents/autoplay_agent.py"", line 35, in execute
    raise UnfixableException(f""game mechanics could not be fixed after {self.autoplay_loops} tries. We should abandon this gen"")
ige2_agents.autoplay_agent.UnfixableException: game mechanics could not be fixed after 5 tries. We should abandon this gen
","['new_prompt_logs/999954_856409_FullOneShotGameGeneration', 'new_prompt_logs/999950_480106_UnknownAgent', 'new_prompt_logs/999949_347270_OneShotCoreAgent', 'new_prompt_logs/999929_789045_UnknownAgent', 'new_prompt_logs/999914_863094_OneShotCoreAgent', 'new_prompt_logs/999897_325183_FullOneShotGameGeneration']",ladder/coffee_tycoon_4,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,806.924615,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:30:53,5bac7850-cb03-4230-99cc-8e0e15b8a98d,FullOneShotGameGeneration,gold_miner,3,success,,,"['new_prompt_logs/999955_593817_FullOneShotGameGeneration', 'new_prompt_logs/999944_205882_UnknownAgent', 'new_prompt_logs/999943_645071_OneShotCoreAgent', 'new_prompt_logs/999921_550397_UnknownAgent', 'new_prompt_logs/999910_898861_OneShotCoreAgent', 'new_prompt_logs/999895_735071_FullOneShotGameGeneration']",ladder/gold_miner_3,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,885.74104,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:30:54,4f9d6f70-2489-40e7-b425-d344269fa726,FullOneShotGameGeneration,gold_miner,5,success,,,"['new_prompt_logs/999952_122685_FullOneShotGameGeneration', 'new_prompt_logs/999938_128010_UnknownAgent', 'new_prompt_logs/999937_575737_OneShotCoreAgent', 'new_prompt_logs/999924_295686_UnknownAgent', 'new_prompt_logs/999918_345843_OneShotCoreAgent', 'new_prompt_logs/999903_940217_FullOneShotGameGeneration', 'new_prompt_logs/999899_670814_UnknownAgent', 'new_prompt_logs/999898_856781_OneShotCoreAgent', 'new_prompt_logs/999896_444242_UnknownAgent', 'new_prompt_logs/999893_502906_OneShotCoreAgent', 'new_prompt_logs/999892_380043_FullOneShotGameGeneration']",ladder/gold_miner_5,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,572.985189,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:31:02,f9fb242f-9d6f-4968-aa71-1646a5a3cfb4,FullOneShotGameGeneration,coffee_tycoon,3,success,,,"['new_prompt_logs/999953_965119_FullOneShotGameGeneration', 'new_prompt_logs/999936_714938_UnknownAgent', 'new_prompt_logs/999935_232011_OneShotCoreAgent', 'new_prompt_logs/999925_225608_UnknownAgent', 'new_prompt_logs/999916_322510_OneShotCoreAgent', 'new_prompt_logs/999907_756069_FullOneShotGameGeneration']",ladder/coffee_tycoon_3,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,895.015519,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:31:03,b9db2a90-31ac-496a-8863-e5128e512d8b,FullOneShotGameGeneration,coffee_tycoon,7,success,,,"['new_prompt_logs/999957_913965_FullOneShotGameGeneration', 'new_prompt_logs/999934_501952_UnknownAgent', 'new_prompt_logs/999933_461702_OneShotCoreAgent', 'new_prompt_logs/999923_519421_UnknownAgent', 'new_prompt_logs/999913_666089_OneShotCoreAgent', 'new_prompt_logs/999911_263280_FullOneShotGameGeneration']",ladder/coffee_tycoon_7,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,896.135305,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
2024-12-12 12:31:49,30fb688e-3d4f-4210-8e4a-8b734f447ae8,FullOneShotGameGeneration,coffee_tycoon,5,success,,,"['new_prompt_logs/999957_113551_FullOneShotGameGeneration', 'new_prompt_logs/999948_975314_UnknownAgent', 'new_prompt_logs/999947_275926_OneShotCoreAgent', 'new_prompt_logs/999930_985629_UnknownAgent', 'new_prompt_logs/999915_577173_OneShotCoreAgent', 'new_prompt_logs/999906_532668_FullOneShotGameGeneration']",ladder/coffee_tycoon_5,https://github.com/volter-ai/volter-monorepo/blob/64158e701716b2c7372ff29357b784e70644def5/packages/lib-volter-ige2/ige2_agents/public/full_one_shot_gen.py,andrew/structure_bench,ige2_game,941.185356,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20241022
