timestamp,run_id,agent_id,ladder,run,status,error,traceback,logs,project_directory,commit_url,branch_name,project_type,override_model,strong_completion_model,base_chat_completion_model,fast_chat_completion_model,strong_coding_completion_model
2024-10-22 20:17:43,96562ba0-cd23-48cf-a9ef-fa1384f12307,OneShotCoreAgent,creature_battler_02,5,success,,,['new_prompt_logs/999972_562883_OneShotCoreAgent'],ladder/creature_battler_02_5/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:17:46,04b0a935-8ba0-46e4-a77a-66f75658cd22,OneShotCoreAgent,creature_battler_01,1,success,,,['new_prompt_logs/999983_238269_OneShotCoreAgent'],ladder/creature_battler_01_1/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:17:47,005a496c-4043-4337-9f80-a46a99c12067,OneShotCoreAgent,creature_battler_01,3,success,,,['new_prompt_logs/999982_438422_OneShotCoreAgent'],ladder/creature_battler_01_3/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:04,c5dd052e-4e6b-4e9d-bf21-1ba7acce009b,OneShotCoreAgent,creature_battler_01,7,success,,,['new_prompt_logs/999981_337158_OneShotCoreAgent'],ladder/creature_battler_01_7/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:10,119916af-2b4c-49c7-9af8-b104128618a4,OneShotCoreAgent,creature_battler_01,5,success,,,['new_prompt_logs/999978_829657_OneShotCoreAgent'],ladder/creature_battler_01_5/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:12,770d6715-1fea-4a21-aa86-f36402fc032f,OneShotCoreAgent,creature_battler_01,2,success,,,['new_prompt_logs/999980_622700_OneShotCoreAgent'],ladder/creature_battler_01_2/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:13,a85324ca-2d4d-4df7-8328-5f4c7ec04804,OneShotCoreAgent,creature_battler_02,2,success,,,['new_prompt_logs/999977_898713_OneShotCoreAgent'],ladder/creature_battler_02_2/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:36,b60b7729-50e0-4614-81b9-68c20e13eb89,OneShotCoreAgent,creature_battler_01,4,success,,,['new_prompt_logs/999975_818663_OneShotCoreAgent'],ladder/creature_battler_01_4/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:43,34d5633d-db92-4158-a5a8-f6ea8c4af163,OneShotCoreAgent,creature_battler_02,3,success,,,['new_prompt_logs/999976_341506_OneShotCoreAgent'],ladder/creature_battler_02_3/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:18:52,559acf28-4f9b-43f2-9779-3bde46d857c7,OneShotCoreAgent,creature_battler_01,6,success,,,['new_prompt_logs/999973_602940_OneShotCoreAgent'],ladder/creature_battler_01_6/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:19:16,50799a03-99f4-423d-8806-27b57487c64e,OneShotCoreAgent,creature_battler_02,1,success,,,['new_prompt_logs/999979_317632_OneShotCoreAgent'],ladder/creature_battler_02_1/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
2024-10-22 20:19:23,1ad65250-cd8f-4e8c-89c4-c22a33ee572f,OneShotCoreAgent,creature_battler_02,4,success,,,['new_prompt_logs/999974_442801_OneShotCoreAgent'],ladder/creature_battler_02_4/main_game,https://github.com/volter-ai/volter-monorepo/blob/3de88bcac780552def103f7c6287ee6d2fb100db/packages/lib-volter-mge2/mge_agents/internal/one_shot_gen/one_shot_core.py,andrew/volter_bench_3,mge2_game,,gpt-4o,claude-3-5-sonnet-20240620,gpt-4o-mini,claude-3-5-sonnet-20240620
